"","trial","stimulus","intensity","response","correct","condition","subject","axis","group"
"1",1,1,2,1,1,"post","1","pitch02hz","experimental"
"2",2,1,1,1,1,"post","1","pitch02hz","experimental"
"3",3,0,-4,0,1,"post","1","pitch02hz","experimental"
"4",4,1,4,0,0,"post","1","pitch02hz","experimental"
"5",5,1,1,0,0,"post","1","pitch02hz","experimental"
"6",6,0,-6,0,1,"post","1","pitch02hz","experimental"
"7",7,1,7,1,1,"post","1","pitch02hz","experimental"
"8",8,1,4,0,0,"post","1","pitch02hz","experimental"
"9",9,0,-1,1,0,"post","1","pitch02hz","experimental"
"10",10,0,-5,0,1,"post","1","pitch02hz","experimental"
"11",11,1,3,1,1,"post","1","pitch02hz","experimental"
"12",12,1,1,0,0,"post","1","pitch02hz","experimental"
"13",13,0,-3,1,0,"post","1","pitch02hz","experimental"
"14",14,0,-5,0,1,"post","1","pitch02hz","experimental"
"15",15,1,6,1,1,"post","1","pitch02hz","experimental"
"16",16,1,6,1,1,"post","1","pitch02hz","experimental"
"17",17,0,-5,0,1,"post","1","pitch02hz","experimental"
"18",18,1,1,1,1,"post","1","pitch02hz","experimental"
"19",19,0,-1,1,0,"post","1","pitch02hz","experimental"
"20",20,0,-3,1,0,"post","1","pitch02hz","experimental"
"21",21,1,4,1,1,"post","1","pitch02hz","experimental"
"22",22,1,5,0,0,"post","1","pitch02hz","experimental"
"23",23,0,-5,0,1,"post","1","pitch02hz","experimental"
"24",24,1,5,0,0,"post","1","pitch02hz","experimental"
"25",25,0,-4,0,1,"post","1","pitch02hz","experimental"
"26",26,1,2,0,0,"post","1","pitch02hz","experimental"
"27",27,1,2,0,0,"post","1","pitch02hz","experimental"
"28",28,0,-1,1,0,"post","1","pitch02hz","experimental"
"29",29,1,2,0,0,"post","1","pitch02hz","experimental"
"30",30,1,3,1,1,"post","1","pitch02hz","experimental"
"31",31,0,-5,0,1,"post","1","pitch02hz","experimental"
"32",32,0,-3,0,1,"post","1","pitch02hz","experimental"
"33",33,0,-5,0,1,"post","1","pitch02hz","experimental"
"34",34,1,6,1,1,"post","1","pitch02hz","experimental"
"35",35,1,7,1,1,"post","1","pitch02hz","experimental"
"36",36,0,-4,0,1,"post","1","pitch02hz","experimental"
"37",37,1,5,1,1,"post","1","pitch02hz","experimental"
"38",38,0,-7,0,1,"post","1","pitch02hz","experimental"
"39",39,1,3,0,0,"post","1","pitch02hz","experimental"
"40",40,1,7,1,1,"post","1","pitch02hz","experimental"
"41",41,0,-2,0,1,"post","1","pitch02hz","experimental"
"42",42,0,-2,0,1,"post","1","pitch02hz","experimental"
"43",43,1,5,0,0,"post","1","pitch02hz","experimental"
"44",44,1,3,0,0,"post","1","pitch02hz","experimental"
"45",45,1,7,1,1,"post","1","pitch02hz","experimental"
"46",46,0,-6,0,1,"post","1","pitch02hz","experimental"
"47",47,0,-4,0,1,"post","1","pitch02hz","experimental"
"48",48,0,-5,0,1,"post","1","pitch02hz","experimental"
"49",49,0,-4,0,1,"post","1","pitch02hz","experimental"
"50",50,1,4,1,1,"post","1","pitch02hz","experimental"
"51",51,0,-2,0,1,"post","1","pitch02hz","experimental"
"52",52,1,4,0,0,"post","1","pitch02hz","experimental"
"53",53,0,-5,1,0,"post","1","pitch02hz","experimental"
"54",54,0,-2,0,1,"post","1","pitch02hz","experimental"
"55",55,1,1,1,1,"post","1","pitch02hz","experimental"
"56",56,0,-6,0,1,"post","1","pitch02hz","experimental"
"57",57,0,-2,0,1,"post","1","pitch02hz","experimental"
"58",58,0,-5,0,1,"post","1","pitch02hz","experimental"
"59",59,1,2,0,0,"post","1","pitch02hz","experimental"
"60",60,0,-3,0,1,"post","1","pitch02hz","experimental"
"61",61,0,-2,0,1,"post","1","pitch02hz","experimental"
"62",62,1,5,0,0,"post","1","pitch02hz","experimental"
"63",63,1,3,0,0,"post","1","pitch02hz","experimental"
"64",64,0,-3,0,1,"post","1","pitch02hz","experimental"
"65",65,1,2,1,1,"post","1","pitch02hz","experimental"
"66",66,0,-3,1,0,"post","1","pitch02hz","experimental"
"67",67,1,7,1,1,"post","1","pitch02hz","experimental"
"68",68,1,7,1,1,"post","1","pitch02hz","experimental"
"69",69,0,-7,0,1,"post","1","pitch02hz","experimental"
"70",70,0,-3,0,1,"post","1","pitch02hz","experimental"
"71",71,1,5,1,1,"post","1","pitch02hz","experimental"
"72",72,0,-2,0,1,"post","1","pitch02hz","experimental"
"73",73,0,-5,0,1,"post","1","pitch02hz","experimental"
"74",74,1,1,0,0,"post","1","pitch02hz","experimental"
"75",75,1,5,1,1,"post","1","pitch02hz","experimental"
"76",76,1,3,0,0,"post","1","pitch02hz","experimental"
"77",77,1,3,0,0,"post","1","pitch02hz","experimental"
"78",78,0,-2,1,0,"post","1","pitch02hz","experimental"
"79",79,0,-7,0,1,"post","1","pitch02hz","experimental"
"80",80,0,-6,0,1,"post","1","pitch02hz","experimental"
"81",81,0,-7,0,1,"post","1","pitch02hz","experimental"
"82",82,0,-7,0,1,"post","1","pitch02hz","experimental"
"83",83,1,6,1,1,"post","1","pitch02hz","experimental"
"84",84,1,6,1,1,"post","1","pitch02hz","experimental"
"85",85,0,-6,0,1,"post","1","pitch02hz","experimental"
"86",86,0,-1,1,0,"post","1","pitch02hz","experimental"
"87",87,1,3,1,1,"post","1","pitch02hz","experimental"
"88",88,0,-6,0,1,"post","1","pitch02hz","experimental"
"89",89,1,4,1,1,"post","1","pitch02hz","experimental"
"90",90,0,-4,0,1,"post","1","pitch02hz","experimental"
"91",91,0,-4,1,0,"post","1","pitch02hz","experimental"
"92",92,1,4,0,0,"post","1","pitch02hz","experimental"
"93",93,0,-3,0,1,"post","1","pitch02hz","experimental"
"94",94,1,2,1,1,"post","1","pitch02hz","experimental"
"95",95,1,5,0,0,"post","1","pitch02hz","experimental"
"96",96,0,-3,0,1,"post","1","pitch02hz","experimental"
"97",97,0,-7,0,1,"post","1","pitch02hz","experimental"
"98",98,0,-1,0,1,"post","1","pitch02hz","experimental"
"99",99,1,5,1,1,"post","1","pitch02hz","experimental"
"100",100,1,1,0,0,"post","1","pitch02hz","experimental"
"101",101,0,-4,0,1,"post","1","pitch02hz","experimental"
"102",102,1,7,1,1,"post","1","pitch02hz","experimental"
"103",103,0,-2,1,0,"post","1","pitch02hz","experimental"
"104",104,0,-7,0,1,"post","1","pitch02hz","experimental"
"105",105,1,6,1,1,"post","1","pitch02hz","experimental"
"106",106,1,2,1,1,"post","1","pitch02hz","experimental"
"107",107,0,-4,0,1,"post","1","pitch02hz","experimental"
"108",108,1,1,0,0,"post","1","pitch02hz","experimental"
"109",109,0,-7,0,1,"post","1","pitch02hz","experimental"
"110",110,0,-3,0,1,"post","1","pitch02hz","experimental"
"111",111,1,4,0,0,"post","1","pitch02hz","experimental"
"112",112,0,-1,1,0,"post","1","pitch02hz","experimental"
"113",113,1,2,0,0,"post","1","pitch02hz","experimental"
"114",114,1,6,1,1,"post","1","pitch02hz","experimental"
"115",115,0,-6,0,1,"post","1","pitch02hz","experimental"
"116",116,1,7,1,1,"post","1","pitch02hz","experimental"
"117",117,0,-7,0,1,"post","1","pitch02hz","experimental"
"118",118,0,-1,0,1,"post","1","pitch02hz","experimental"
"119",119,1,4,0,0,"post","1","pitch02hz","experimental"
"120",120,1,6,0,0,"post","1","pitch02hz","experimental"
"121",121,1,7,0,0,"post","1","pitch02hz","experimental"
"122",122,1,3,1,1,"post","1","pitch02hz","experimental"
"123",123,1,1,0,0,"post","1","pitch02hz","experimental"
"124",124,0,-7,0,1,"post","1","pitch02hz","experimental"
"125",125,0,-1,0,1,"post","1","pitch02hz","experimental"
"126",126,1,7,1,1,"post","1","pitch02hz","experimental"
"127",127,0,-2,0,1,"post","1","pitch02hz","experimental"
"128",128,1,5,0,0,"post","1","pitch02hz","experimental"
"129",129,0,-1,1,0,"post","1","pitch02hz","experimental"
"130",130,0,-6,0,1,"post","1","pitch02hz","experimental"
"131",131,1,4,0,0,"post","1","pitch02hz","experimental"
"132",132,0,-1,0,1,"post","1","pitch02hz","experimental"
"133",133,1,3,0,0,"post","1","pitch02hz","experimental"
"134",134,0,-4,0,1,"post","1","pitch02hz","experimental"
"135",135,0,-6,0,1,"post","1","pitch02hz","experimental"
"136",136,1,6,1,1,"post","1","pitch02hz","experimental"
"137",137,1,2,0,0,"post","1","pitch02hz","experimental"
"138",138,1,6,1,1,"post","1","pitch02hz","experimental"
"139",139,0,-6,0,1,"post","1","pitch02hz","experimental"
"140",140,1,1,0,0,"post","1","pitch02hz","experimental"
"141",1,0,-1,1,0,"post","1","roll02hz","experimental"
"142",2,1,4,1,1,"post","1","roll02hz","experimental"
"143",3,0,-2,1,0,"post","1","roll02hz","experimental"
"144",4,0,-5,0,1,"post","1","roll02hz","experimental"
"145",5,0,-5,0,1,"post","1","roll02hz","experimental"
"146",6,0,-6,0,1,"post","1","roll02hz","experimental"
"147",7,1,3,1,1,"post","1","roll02hz","experimental"
"148",8,1,5,1,1,"post","1","roll02hz","experimental"
"149",9,1,3,1,1,"post","1","roll02hz","experimental"
"150",10,1,4,1,1,"post","1","roll02hz","experimental"
"151",11,1,7,1,1,"post","1","roll02hz","experimental"
"152",12,0,-2,1,0,"post","1","roll02hz","experimental"
"153",13,1,1,0,0,"post","1","roll02hz","experimental"
"154",14,1,7,1,1,"post","1","roll02hz","experimental"
"155",15,0,-7,0,1,"post","1","roll02hz","experimental"
"156",16,1,4,1,1,"post","1","roll02hz","experimental"
"157",17,1,5,1,1,"post","1","roll02hz","experimental"
"158",18,0,-1,0,1,"post","1","roll02hz","experimental"
"159",19,0,-1,1,0,"post","1","roll02hz","experimental"
"160",20,1,6,1,1,"post","1","roll02hz","experimental"
"161",21,1,3,1,1,"post","1","roll02hz","experimental"
"162",22,0,-4,0,1,"post","1","roll02hz","experimental"
"163",23,1,3,1,1,"post","1","roll02hz","experimental"
"164",24,0,-7,0,1,"post","1","roll02hz","experimental"
"165",25,0,-4,1,0,"post","1","roll02hz","experimental"
"166",26,0,-4,0,1,"post","1","roll02hz","experimental"
"167",27,0,-3,1,0,"post","1","roll02hz","experimental"
"168",28,0,-7,0,1,"post","1","roll02hz","experimental"
"169",29,0,-1,0,1,"post","1","roll02hz","experimental"
"170",30,1,7,1,1,"post","1","roll02hz","experimental"
"171",31,0,-7,0,1,"post","1","roll02hz","experimental"
"172",32,1,7,1,1,"post","1","roll02hz","experimental"
"173",33,0,-3,0,1,"post","1","roll02hz","experimental"
"174",34,0,-6,0,1,"post","1","roll02hz","experimental"
"175",35,0,-6,0,1,"post","1","roll02hz","experimental"
"176",36,1,7,1,1,"post","1","roll02hz","experimental"
"177",37,1,2,1,1,"post","1","roll02hz","experimental"
"178",38,0,-2,0,1,"post","1","roll02hz","experimental"
"179",39,1,2,0,0,"post","1","roll02hz","experimental"
"180",40,0,-5,0,1,"post","1","roll02hz","experimental"
"181",41,1,1,1,1,"post","1","roll02hz","experimental"
