condition,session,block,coherence,stim,response,rt,subject,intensity,stimulus,trial
Neutral,1,1,0.6,1,1,0.319,1,0.6,1,1
Neutral,1,1,0,1,0,0.433,1,0,1,2
Neutral,1,1,0,1,0,0.5,1,0,1,3
Neutral,1,1,0.4,-1,0,0.267,1,0.4,0,4
Neutral,1,1,0.4,-1,0,0.317,1,0.4,0,5
Neutral,1,1,0.1,-1,1,0.317,1,0.1,0,6
Neutral,1,1,0.2,-1,0,0.3,1,0.2,0,7
Neutral,1,1,0.6,-1,0,0.334,1,0.6,0,8
Neutral,1,1,0.4,1,1,0.317,1,0.4,1,9
Neutral,1,1,0.05,1,1,0.333,1,0.05,1,10
Neutral,1,1,0.2,1,0,0.267,1,0.2,1,11
Neutral,1,1,0,1,1,0.267,1,0,1,12
Neutral,1,1,0.6,-1,0,0.2,1,0.6,0,13
Neutral,1,1,0.05,1,1,0.35,1,0.05,1,14
Neutral,1,1,0.2,-1,0,0.3,1,0.2,0,15
Neutral,1,1,0.05,1,1,0.317,1,0.05,1,16
Neutral,1,1,0.05,1,0,0.333,1,0.05,1,17
Neutral,1,1,0.1,-1,1,0.35,1,0.1,0,18
Neutral,1,1,0.2,1,1,0.3,1,0.2,1,19
Neutral,1,1,0.2,-1,0,0.35,1,0.2,0,20
Neutral,1,1,0.1,1,1,0.4,1,0.1,1,21
Neutral,1,1,0.6,-1,0,0.167,1,0.6,0,22
Neutral,1,1,0.1,1,1,0.317,1,0.1,1,23
Neutral,1,1,0.4,-1,0,0.25,1,0.4,0,24
Neutral,1,1,0,1,1,0.433,1,0,1,25
Neutral,1,1,0.2,-1,1,0.217,1,0.2,0,26
Neutral,1,1,0.6,1,1,0.25,1,0.6,1,27
Neutral,1,1,0.4,1,1,0.267,1,0.4,1,28
Neutral,1,1,0.05,1,1,0.45,1,0.05,1,29
Neutral,1,1,0.2,-1,0,0.234,1,0.2,0,30
Neutral,1,1,0,1,1,0.334,1,0,1,31
Neutral,1,1,0.6,1,1,0.334,1,0.6,1,32
Neutral,1,1,0.6,-1,0,0.217,1,0.6,0,33
Neutral,1,1,0.05,-1,0,0.3,1,0.05,0,34
Neutral,1,1,0.05,1,1,0.117,1,0.05,1,35
Neutral,1,1,0.4,-1,0,0.317,1,0.4,0,36
Neutral,1,1,0.1,-1,1,0.333,1,0.1,0,37
Neutral,1,1,0,1,1,0.367,1,0,1,38
Neutral,1,1,0.1,-1,1,0.367,1,0.1,0,39
Neutral,1,1,0,1,1,0.267,1,0,1,40
Neutral,1,1,0.1,1,1,0.333,1,0.1,1,41
Neutral,1,1,0.6,-1,0,0.25,1,0.6,0,42
Neutral,1,1,0.4,-1,0,0.217,1,0.4,0,43
Neutral,1,1,0.05,1,1,0.367,1,0.05,1,44
